HOUSE URL,HOME STATUS,HOUSE TYPE,PRICE($),STREET,CITY,STATE,ZIP CODE,NUMBER OF BEDROOMS,NUMBER OF BATHROOMS,HOUSE SIZE (sqft),LOT SIZE,RENT ZESTIMATE
https://www.zillow.com/homedetails/1753-Gaylord-Dr-Austin-TX-78728/29447971_zpid/,,SINGLE FAMILY,"$499,000",1753 Gaylord Dr,Austin,TX,78728,4,3,2253,0.25 acres,2318
https://www.zillow.com/homedetails/14502-Hartsmith-Dr-Austin-TX-78725/29464178_zpid/,,SINGLE FAMILY,"$225,000",14502 Hartsmith Dr,Austin,TX,78725,3,2,1162,6969.6 sqft,
https://www.zillow.com/homedetails/11602-Fast-Horse-Dr-Austin-TX-78759/29439179_zpid/,,SINGLE FAMILY,"$499,000",11602 Fast Horse Dr,Austin,TX,78759,3,2,1394,8193.636 sqft,2638
https://www.zillow.com/homedetails/5603-Darlington-Ln-Austin-TX-78723/29402552_zpid/,,SINGLE FAMILY,"$439,989",5603 Darlington Ln,Austin,TX,78723,3,2,1110,9034.344 sqft,
https://www.zillow.com/homedetails/10137-Milla-Cir-46-Austin-TX-78748/119630649_zpid/,,SINGLE FAMILY,"$395,000",10137 Milla Cir #46,Austin,TX,78748,2,2,1509,6033.06 sqft,2233
https://www.zillow.com/homedetails/6309-Marsh-Ln-Buda-TX-78610/442287460_zpid/,,SINGLE FAMILY,"$329,999",6309 Marsh Ln,Buda,TX,78610,3,3,1649, ,
https://www.zillow.com/homedetails/15000-Retha-Pass-Austin-TX-78725/331624558_zpid/,,SINGLE FAMILY,"$296,000",15000 Retha Pass,Austin,TX,78725,3,2,1464,9622.404 sqft,
https://www.zillow.com/homedetails/1840-Burton-Dr-APT-231-Austin-TX-78741/29461604_zpid/,,CONDO,"$165,000",1840 Burton Dr APT 231,Austin,TX,78741,1,1,518,1402.632 sqft,
https://www.zillow.com/homedetails/1706-Whitney-Way-Austin-TX-78741/144337095_zpid/,,SINGLE FAMILY,"$399,989",1706 Whitney Way,Austin,TX,78741,3,2,1257,6011.28 sqft,2405
https://www.zillow.com/homedetails/1501-Cricket-Hollow-Dr-Austin-TX-78758/29434210_zpid/,,SINGLE FAMILY,"$449,900",1501 Cricket Hollow Dr,Austin,TX,78758,4,2,1584,0.5808 acres,2315
https://www.zillow.com/homedetails/6304-Clubway-Ln-Austin-TX-78745/29493163_zpid/,,SINGLE FAMILY,"$350,000",6304 Clubway Ln,Austin,TX,78745,3,2,1179,6420.744 sqft,2341
